Full Name,Company,Contact Rank,Job Title,Employer / Agency,Contact Type,Why This Contact,LinkedIn / Route,Email,Verification Confidence,Verified / Researched,Source URL,Suggested Personalization,Outreach Status,Last Contact,Next Follow-up,Notes,Is Placeholder
TO RESEARCH,Nebula,2,Influencer Marketing Manager,Nebula,Primary operator,Likely day-to-day buyer/negotiator for integrations.,,,Open – no current person verified,2026-09-10,https://sponsorradar.com/channels/tldrdaily,Search Nebula + 'Influencer Marketing Manager'. Validate current employment before messaging.,Research needed,,,Intentional research slot. Do not contact a guessed person; replace only after current role is verified.,Yes
TO RESEARCH,Nebula,3,Creator Partnerships / Sponsorships Manager,Nebula,Primary operator,Direct remit for creator deals and sponsorships.,,,Open – no current person verified,2026-09-10,https://sponsorradar.com/channels/tldrdaily,Search Nebula + 'Creator Partnerships / Sponsorships Manager'. Validate current employment before messaging.,Research needed,,,Intentional research slot. Do not contact a guessed person; replace only after current role is verified.,Yes
TO RESEARCH,Nebula,4,Partnerships / Affiliate Manager,Nebula,Secondary buyer,Useful for hybrid paid + performance structure or internal routing.,,,Open – no current person verified,2026-09-10,https://sponsorradar.com/channels/tldrdaily,Search Nebula + 'Partnerships / Affiliate Manager'. Validate current employment before messaging.,Research needed,,,Intentional research slot. Do not contact a guessed person; replace only after current role is verified.,Yes
TO RESEARCH,Nebula,5,Growth / Performance Marketing Manager,Nebula,Escalation,Useful where creator media sits inside performance acquisition.,,,Open – no current person verified,2026-09-10,https://sponsorradar.com/channels/tldrdaily,Search Nebula + 'Growth / Performance Marketing Manager'. Validate current employment before messaging.,Research needed,,,Intentional research slot. Do not contact a guessed person; replace only after current role is verified.,Yes
TO RESEARCH,Henson Shaving,1,Head of Influencer / Creator Marketing,Henson Shaving,Primary buyer,Find the person who owns creator acquisition and sponsorship budget.,,,Open – no current person verified,2026-09-10,https://sponsorradar.com/channels/taskandpurpose,Search Henson Shaving + 'Head of Influencer / Creator Marketing'. Validate current employment before messaging.,Research needed,,,Intentional research slot. Do not contact a guessed person; replace only after current role is verified.,Yes
TO RESEARCH,Henson Shaving,2,Influencer Marketing Manager,Henson Shaving,Primary operator,Likely day-to-day buyer/negotiator for integrations.,,,Open – no current person verified,2026-09-10,https://sponsorradar.com/channels/taskandpurpose,Search Henson Shaving + 'Influencer Marketing Manager'. Validate current employment before messaging.,Research needed,,,Intentional research slot. Do not contact a guessed person; replace only after current role is verified.,Yes
TO RESEARCH,Henson Shaving,3,Creator Partnerships / Sponsorships Manager,Henson Shaving,Primary operator,Direct remit for creator deals and sponsorships.,,,Open – no current person verified,2026-09-10,https://sponsorradar.com/channels/taskandpurpose,Search Henson Shaving + 'Creator Partnerships / Sponsorships Manager'. Validate current employment before messaging.,Research needed,,,Intentional research slot. Do not contact a guessed person; replace only after current role is verified.,Yes
TO RESEARCH,Henson Shaving,4,Partnerships / Affiliate Manager,Henson Shaving,Secondary buyer,Useful for hybrid paid + performance structure or internal routing.,,,Open – no current person verified,2026-09-10,https://sponsorradar.com/channels/taskandpurpose,Search Henson Shaving + 'Partnerships / Affiliate Manager'. Validate current employment before messaging.,Research needed,,,Intentional research slot. Do not contact a guessed person; replace only after current role is verified.,Yes
TO RESEARCH,Henson Shaving,5,Growth / Performance Marketing Manager,Henson Shaving,Escalation,Useful where creator media sits inside performance acquisition.,,,Open – no current person verified,2026-09-10,https://sponsorradar.com/channels/taskandpurpose,Search Henson Shaving + 'Growth / Performance Marketing Manager'. Validate current employment before messaging.,Research needed,,,Intentional research slot. Do not contact a guessed person; replace only after current role is verified.,Yes
TO RESEARCH,Opera,1,Head of Influencer / Creator Marketing,Opera,Primary buyer,Find the person who owns creator acquisition and sponsorship budget.,,,Open – no current person verified,2026-09-10,https://sponsorradar.com/channels/newmind,Search Opera + 'Head of Influencer / Creator Marketing'. Validate current employment before messaging.,Research needed,,,Intentional research slot. Do not contact a guessed person; replace only after current role is verified.,Yes
TO RESEARCH,Opera,2,Influencer Marketing Manager,Opera,Primary operator,Likely day-to-day buyer/negotiator for integrations.,,,Open – no current person verified,2026-09-10,https://sponsorradar.com/channels/newmind,Search Opera + 'Influencer Marketing Manager'. Validate current employment before messaging.,Research needed,,,Intentional research slot. Do not contact a guessed person; replace only after current role is verified.,Yes
TO RESEARCH,Opera,3,Creator Partnerships / Sponsorships Manager,Opera,Primary operator,Direct remit for creator deals and sponsorships.,,,Open – no current person verified,2026-09-10,https://sponsorradar.com/channels/newmind,Search Opera + 'Creator Partnerships / Sponsorships Manager'. Validate current employment before messaging.,Research needed,,,Intentional research slot. Do not contact a guessed person; replace only after current role is verified.,Yes
TO RESEARCH,Opera,4,Partnerships / Affiliate Manager,Opera,Secondary buyer,Useful for hybrid paid + performance structure or internal routing.,,,Open – no current person verified,2026-09-10,https://sponsorradar.com/channels/newmind,Search Opera + 'Partnerships / Affiliate Manager'. Validate current employment before messaging.,Research needed,,,Intentional research slot. Do not contact a guessed person; replace only after current role is verified.,Yes
TO RESEARCH,Opera,5,Growth / Performance Marketing Manager,Opera,Escalation,Useful where creator media sits inside performance acquisition.,,,Open – no current person verified,2026-09-10,https://sponsorradar.com/channels/newmind,Search Opera + 'Growth / Performance Marketing Manager'. Validate current employment before messaging.,Research needed,,,Intentional research slot. Do not contact a guessed person; replace only after current role is verified.,Yes
Cynthia Youngblood,World of Tanks (Wargaming),1,Marketing / Influencer Campaigns,Wargaming,Internal,Current Wargaming contact publicly associated with major influencer campaign work.,https://www.linkedin.com/in/cynthiareyes5,,Medium-High,2026-09-10,https://www.linkedin.com/in/cynthiareyes5,Mention military-analysis audience overlap.,Not contacted,,,Named contact verified from current public profile/search evidence.,No
Stefano Incollingo,World of Tanks (Wargaming),2,Influencer Marketing,Wargaming,Internal,Profile explicitly references influencer marketing work.,https://fr.linkedin.com/in/stefanoincollingo/en,,High,2026-09-10,https://fr.linkedin.com/in/stefanoincollingo/en,Direct creator outreach target.,Not contacted,,,Named contact verified from current public profile/search evidence.,No
Michael Bakaleinik,World of Tanks (Wargaming),3,Marketing / Partnerships,Wargaming,Internal,Current Wargaming route with sponsor/collaboration activity.,https://www.linkedin.com/in/michael-bakaleinik,,Medium,2026-09-10,https://www.linkedin.com/in/michael-bakaleinik,Secondary route.,Not contacted,,,Named contact verified from current public profile/search evidence.,No
TO RESEARCH,World of Tanks (Wargaming),4,Partnerships / Affiliate Manager,World of Tanks (Wargaming),Secondary buyer,Useful for hybrid paid + performance structure or internal routing.,,,Open – no current person verified,2026-09-10,https://sponsorradar.com/channels/theoperationsroom,Search World of Tanks (Wargaming) + 'Partnerships / Affiliate Manager'. Validate current employment before messaging.,Research needed,,,Intentional research slot. Do not contact a guessed person; replace only after current role is verified.,Yes
TO RESEARCH,World of Tanks (Wargaming),5,Growth / Performance Marketing Manager,World of Tanks (Wargaming),Escalation,Useful where creator media sits inside performance acquisition.,,,Open – no current person verified,2026-09-10,https://sponsorradar.com/channels/theoperationsroom,Search World of Tanks (Wargaming) + 'Growth / Performance Marketing Manager'. Validate current employment before messaging.,Research needed,,,Intentional research slot. Do not contact a guessed person; replace only after current role is verified.,Yes
TO RESEARCH,Rec Watches,1,Head of Influencer / Creator Marketing,Rec Watches,Primary buyer,Find the person who owns creator acquisition and sponsorship budget.,,,Open – no current person verified,2026-09-10,https://sponsorradar.com/channels/theoperationsroom,Search Rec Watches + 'Head of Influencer / Creator Marketing'. Validate current employment before messaging.,Research needed,,,Intentional research slot. Do not contact a guessed person; replace only after current role is verified.,Yes
TO RESEARCH,Rec Watches,2,Influencer Marketing Manager,Rec Watches,Primary operator,Likely day-to-day buyer/negotiator for integrations.,,,Open – no current person verified,2026-09-10,https://sponsorradar.com/channels/theoperationsroom,Search Rec Watches + 'Influencer Marketing Manager'. Validate current employment before messaging.,Research needed,,,Intentional research slot. Do not contact a guessed person; replace only after current role is verified.,Yes
TO RESEARCH,Rec Watches,3,Creator Partnerships / Sponsorships Manager,Rec Watches,Primary operator,Direct remit for creator deals and sponsorships.,,,Open – no current person verified,2026-09-10,https://sponsorradar.com/channels/theoperationsroom,Search Rec Watches + 'Creator Partnerships / Sponsorships Manager'. Validate current employment before messaging.,Research needed,,,Intentional research slot. Do not contact a guessed person; replace only after current role is verified.,Yes
TO RESEARCH,Rec Watches,4,Partnerships / Affiliate Manager,Rec Watches,Secondary buyer,Useful for hybrid paid + performance structure or internal routing.,,,Open – no current person verified,2026-09-10,https://sponsorradar.com/channels/theoperationsroom,Search Rec Watches + 'Partnerships / Affiliate Manager'. Validate current employment before messaging.,Research needed,,,Intentional research slot. Do not contact a guessed person; replace only after current role is verified.,Yes
TO RESEARCH,Rec Watches,5,Growth / Performance Marketing Manager,Rec Watches,Escalation,Useful where creator media sits inside performance acquisition.,,,Open – no current person verified,2026-09-10,https://sponsorradar.com/channels/theoperationsroom,Search Rec Watches + 'Growth / Performance Marketing Manager'. Validate current employment before messaging.,Research needed,,,Intentional research slot. Do not contact a guessed person; replace only after current role is verified.,Yes
TO RESEARCH,Imprint,1,Head of Influencer / Creator Marketing,Imprint,Primary buyer,Find the person who owns creator acquisition and sponsorship budget.,,,Open – no current person verified,2026-09-10,https://sponsorradar.com/channels/tldrdaily,Search Imprint + 'Head of Influencer / Creator Marketing'. Validate current employment before messaging.,Research needed,,,Intentional research slot. Do not contact a guessed person; replace only after current role is verified.,Yes
TO RESEARCH,Imprint,2,Influencer Marketing Manager,Imprint,Primary operator,Likely day-to-day buyer/negotiator for integrations.,,,Open – no current person verified,2026-09-10,https://sponsorradar.com/channels/tldrdaily,Search Imprint + 'Influencer Marketing Manager'. Validate current employment before messaging.,Research needed,,,Intentional research slot. Do not contact a guessed person; replace only after current role is verified.,Yes
TO RESEARCH,Imprint,3,Creator Partnerships / Sponsorships Manager,Imprint,Primary operator,Direct remit for creator deals and sponsorships.,,,Open – no current person verified,2026-09-10,https://sponsorradar.com/channels/tldrdaily,Search Imprint + 'Creator Partnerships / Sponsorships Manager'. Validate current employment before messaging.,Research needed,,,Intentional research slot. Do not contact a guessed person; replace only after current role is verified.,Yes
TO RESEARCH,Imprint,4,Partnerships / Affiliate Manager,Imprint,Secondary buyer,Useful for hybrid paid + performance structure or internal routing.,,,Open – no current person verified,2026-09-10,https://sponsorradar.com/channels/tldrdaily,Search Imprint + 'Partnerships / Affiliate Manager'. Validate current employment before messaging.,Research needed,,,Intentional research slot. Do not contact a guessed person; replace only after current role is verified.,Yes
TO RESEARCH,Imprint,5,Growth / Performance Marketing Manager,Imprint,Escalation,Useful where creator media sits inside performance acquisition.,,,Open – no current person verified,2026-09-10,https://sponsorradar.com/channels/tldrdaily,Search Imprint + 'Growth / Performance Marketing Manager'. Validate current employment before messaging.,Research needed,,,Intentional research slot. Do not contact a guessed person; replace only after current role is verified.,Yes
TO RESEARCH,Skillshare,1,Head of Influencer / Creator Marketing,Skillshare,Primary buyer,Find the person who owns creator acquisition and sponsorship budget.,,,Open – no current person verified,2026-09-10,https://sponsorradar.com/channels/typeashton,Search Skillshare + 'Head of Influencer / Creator Marketing'. Validate current employment before messaging.,Research needed,,,Intentional research slot. Do not contact a guessed person; replace only after current role is verified.,Yes
TO RESEARCH,Skillshare,2,Influencer Marketing Manager,Skillshare,Primary operator,Likely day-to-day buyer/negotiator for integrations.,,,Open – no current person verified,2026-09-10,https://sponsorradar.com/channels/typeashton,Search Skillshare + 'Influencer Marketing Manager'. Validate current employment before messaging.,Research needed,,,Intentional research slot. Do not contact a guessed person; replace only after current role is verified.,Yes
TO RESEARCH,Skillshare,3,Creator Partnerships / Sponsorships Manager,Skillshare,Primary operator,Direct remit for creator deals and sponsorships.,,,Open – no current person verified,2026-09-10,https://sponsorradar.com/channels/typeashton,Search Skillshare + 'Creator Partnerships / Sponsorships Manager'. Validate current employment before messaging.,Research needed,,,Intentional research slot. Do not contact a guessed person; replace only after current role is verified.,Yes
TO RESEARCH,Skillshare,4,Partnerships / Affiliate Manager,Skillshare,Secondary buyer,Useful for hybrid paid + performance structure or internal routing.,,,Open – no current person verified,2026-09-10,https://sponsorradar.com/channels/typeashton,Search Skillshare + 'Partnerships / Affiliate Manager'. Validate current employment before messaging.,Research needed,,,Intentional research slot. Do not contact a guessed person; replace only after current role is verified.,Yes
TO RESEARCH,Skillshare,5,Growth / Performance Marketing Manager,Skillshare,Escalation,Useful where creator media sits inside performance acquisition.,,,Open – no current person verified,2026-09-10,https://sponsorradar.com/channels/typeashton,Search Skillshare + 'Growth / Performance Marketing Manager'. Validate current employment before messaging.,Research needed,,,Intentional research slot. Do not contact a guessed person; replace only after current role is verified.,Yes
TO RESEARCH,MagellanTV,1,Head of Influencer / Creator Marketing,MagellanTV,Primary buyer,Find the person who owns creator acquisition and sponsorship budget.,,,Open – no current person verified,2026-09-10,https://www.magellantv.com,Search MagellanTV + 'Head of Influencer / Creator Marketing'. Validate current employment before messaging.,Research needed,,,Intentional research slot. Do not contact a guessed person; replace only after current role is verified.,Yes
TO RESEARCH,MagellanTV,2,Influencer Marketing Manager,MagellanTV,Primary operator,Likely day-to-day buyer/negotiator for integrations.,,,Open – no current person verified,2026-09-10,https://www.magellantv.com,Search MagellanTV + 'Influencer Marketing Manager'. Validate current employment before messaging.,Research needed,,,Intentional research slot. Do not contact a guessed person; replace only after current role is verified.,Yes
TO RESEARCH,MagellanTV,3,Creator Partnerships / Sponsorships Manager,MagellanTV,Primary operator,Direct remit for creator deals and sponsorships.,,,Open – no current person verified,2026-09-10,https://www.magellantv.com,Search MagellanTV + 'Creator Partnerships / Sponsorships Manager'. Validate current employment before messaging.,Research needed,,,Intentional research slot. Do not contact a guessed person; replace only after current role is verified.,Yes
TO RESEARCH,MagellanTV,4,Partnerships / Affiliate Manager,MagellanTV,Secondary buyer,Useful for hybrid paid + performance structure or internal routing.,,,Open – no current person verified,2026-09-10,https://www.magellantv.com,Search MagellanTV + 'Partnerships / Affiliate Manager'. Validate current employment before messaging.,Research needed,,,Intentional research slot. Do not contact a guessed person; replace only after current role is verified.,Yes
TO RESEARCH,MagellanTV,5,Growth / Performance Marketing Manager,MagellanTV,Escalation,Useful where creator media sits inside performance acquisition.,,,Open – no current person verified,2026-09-10,https://www.magellantv.com,Search MagellanTV + 'Growth / Performance Marketing Manager'. Validate current employment before messaging.,Research needed,,,Intentional research slot. Do not contact a guessed person; replace only after current role is verified.,Yes
TO RESEARCH,Malwarebytes,1,Head of Influencer / Creator Marketing,Malwarebytes,Primary buyer,Find the person who owns creator acquisition and sponsorship budget.,,,Open – no current person verified,2026-09-10,https://www.malwarebytes.com,Search Malwarebytes + 'Head of Influencer / Creator Marketing'. Validate current employment before messaging.,Research needed,,,Intentional research slot. Do not contact a guessed person; replace only after current role is verified.,Yes
TO RESEARCH,Malwarebytes,2,Influencer Marketing Manager,Malwarebytes,Primary operator,Likely day-to-day buyer/negotiator for integrations.,,,Open – no current person verified,2026-09-10,https://www.malwarebytes.com,Search Malwarebytes + 'Influencer Marketing Manager'. Validate current employment before messaging.,Research needed,,,Intentional research slot. Do not contact a guessed person; replace only after current role is verified.,Yes
TO RESEARCH,Malwarebytes,3,Creator Partnerships / Sponsorships Manager,Malwarebytes,Primary operator,Direct remit for creator deals and sponsorships.,,,Open – no current person verified,2026-09-10,https://www.malwarebytes.com,Search Malwarebytes + 'Creator Partnerships / Sponsorships Manager'. Validate current employment before messaging.,Research needed,,,Intentional research slot. Do not contact a guessed person; replace only after current role is verified.,Yes
TO RESEARCH,Malwarebytes,4,Partnerships / Affiliate Manager,Malwarebytes,Secondary buyer,Useful for hybrid paid + performance structure or internal routing.,,,Open – no current person verified,2026-09-10,https://www.malwarebytes.com,Search Malwarebytes + 'Partnerships / Affiliate Manager'. Validate current employment before messaging.,Research needed,,,Intentional research slot. Do not contact a guessed person; replace only after current role is verified.,Yes
TO RESEARCH,Malwarebytes,5,Growth / Performance Marketing Manager,Malwarebytes,Escalation,Useful where creator media sits inside performance acquisition.,,,Open – no current person verified,2026-09-10,https://www.malwarebytes.com,Search Malwarebytes + 'Growth / Performance Marketing Manager'. Validate current employment before messaging.,Research needed,,,Intentional research slot. Do not contact a guessed person; replace only after current role is verified.,Yes
TO RESEARCH,Yubico / YubiKey,1,Head of Influencer / Creator Marketing,Yubico / YubiKey,Primary buyer,Find the person who owns creator acquisition and sponsorship budget.,,,Open – no current person verified,2026-09-10,https://www.yubico.com,Search Yubico / YubiKey + 'Head of Influencer / Creator Marketing'. Validate current employment before messaging.,Research needed,,,Intentional research slot. Do not contact a guessed person; replace only after current role is verified.,Yes
TO RESEARCH,Yubico / YubiKey,2,Influencer Marketing Manager,Yubico / YubiKey,Primary operator,Likely day-to-day buyer/negotiator for integrations.,,,Open – no current person verified,2026-09-10,https://www.yubico.com,Search Yubico / YubiKey + 'Influencer Marketing Manager'. Validate current employment before messaging.,Research needed,,,Intentional research slot. Do not contact a guessed person; replace only after current role is verified.,Yes
TO RESEARCH,Yubico / YubiKey,3,Creator Partnerships / Sponsorships Manager,Yubico / YubiKey,Primary operator,Direct remit for creator deals and sponsorships.,,,Open – no current person verified,2026-09-10,https://www.yubico.com,Search Yubico / YubiKey + 'Creator Partnerships / Sponsorships Manager'. Validate current employment before messaging.,Research needed,,,Intentional research slot. Do not contact a guessed person; replace only after current role is verified.,Yes
TO RESEARCH,Yubico / YubiKey,4,Partnerships / Affiliate Manager,Yubico / YubiKey,Secondary buyer,Useful for hybrid paid + performance structure or internal routing.,,,Open – no current person verified,2026-09-10,https://www.yubico.com,Search Yubico / YubiKey + 'Partnerships / Affiliate Manager'. Validate current employment before messaging.,Research needed,,,Intentional research slot. Do not contact a guessed person; replace only after current role is verified.,Yes
TO RESEARCH,Yubico / YubiKey,5,Growth / Performance Marketing Manager,Yubico / YubiKey,Escalation,Useful where creator media sits inside performance acquisition.,,,Open – no current person verified,2026-09-10,https://www.yubico.com,Search Yubico / YubiKey + 'Growth / Performance Marketing Manager'. Validate current employment before messaging.,Research needed,,,Intentional research slot. Do not contact a guessed person; replace only after current role is verified.,Yes
TO RESEARCH,Supremacy 1914,1,Head of Influencer / Creator Marketing,Supremacy 1914,Primary buyer,Find the person who owns creator acquisition and sponsorship budget.,,,Open – no current person verified,2026-09-10,https://sponsorradar.com/channels/kingsandgenerals,Search Supremacy 1914 + 'Head of Influencer / Creator Marketing'. Validate current employment before messaging.,Research needed,,,Intentional research slot. Do not contact a guessed person; replace only after current role is verified.,Yes
TO RESEARCH,Supremacy 1914,2,Influencer Marketing Manager,Supremacy 1914,Primary operator,Likely day-to-day buyer/negotiator for integrations.,,,Open – no current person verified,2026-09-10,https://sponsorradar.com/channels/kingsandgenerals,Search Supremacy 1914 + 'Influencer Marketing Manager'. Validate current employment before messaging.,Research needed,,,Intentional research slot. Do not contact a guessed person; replace only after current role is verified.,Yes
TO RESEARCH,Supremacy 1914,3,Creator Partnerships / Sponsorships Manager,Supremacy 1914,Primary operator,Direct remit for creator deals and sponsorships.,,,Open – no current person verified,2026-09-10,https://sponsorradar.com/channels/kingsandgenerals,Search Supremacy 1914 + 'Creator Partnerships / Sponsorships Manager'. Validate current employment before messaging.,Research needed,,,Intentional research slot. Do not contact a guessed person; replace only after current role is verified.,Yes
TO RESEARCH,Supremacy 1914,4,Partnerships / Affiliate Manager,Supremacy 1914,Secondary buyer,Useful for hybrid paid + performance structure or internal routing.,,,Open – no current person verified,2026-09-10,https://sponsorradar.com/channels/kingsandgenerals,Search Supremacy 1914 + 'Partnerships / Affiliate Manager'. Validate current employment before messaging.,Research needed,,,Intentional research slot. Do not contact a guessed person; replace only after current role is verified.,Yes
TO RESEARCH,Supremacy 1914,5,Growth / Performance Marketing Manager,Supremacy 1914,Escalation,Useful where creator media sits inside performance acquisition.,,,Open – no current person verified,2026-09-10,https://sponsorradar.com/channels/kingsandgenerals,Search Supremacy 1914 + 'Growth / Performance Marketing Manager'. Validate current employment before messaging.,Research needed,,,Intentional research slot. Do not contact a guessed person; replace only after current role is verified.,Yes
TO RESEARCH,Reolink,1,Head of Influencer / Creator Marketing,Reolink,Primary buyer,Find the person who owns creator acquisition and sponsorship budget.,,,Open – no current person verified,2026-09-10,https://reolink.com,Search Reolink + 'Head of Influencer / Creator Marketing'. Validate current employment before messaging.,Research needed,,,Intentional research slot. Do not contact a guessed person; replace only after current role is verified.,Yes
TO RESEARCH,Reolink,2,Influencer Marketing Manager,Reolink,Primary operator,Likely day-to-day buyer/negotiator for integrations.,,,Open – no current person verified,2026-09-10,https://reolink.com,Search Reolink + 'Influencer Marketing Manager'. Validate current employment before messaging.,Research needed,,,Intentional research slot. Do not contact a guessed person; replace only after current role is verified.,Yes
TO RESEARCH,Reolink,3,Creator Partnerships / Sponsorships Manager,Reolink,Primary operator,Direct remit for creator deals and sponsorships.,,,Open – no current person verified,2026-09-10,https://reolink.com,Search Reolink + 'Creator Partnerships / Sponsorships Manager'. Validate current employment before messaging.,Research needed,,,Intentional research slot. Do not contact a guessed person; replace only after current role is verified.,Yes
TO RESEARCH,Reolink,4,Partnerships / Affiliate Manager,Reolink,Secondary buyer,Useful for hybrid paid + performance structure or internal routing.,,,Open – no current person verified,2026-09-10,https://reolink.com,Search Reolink + 'Partnerships / Affiliate Manager'. Validate current employment before messaging.,Research needed,,,Intentional research slot. Do not contact a guessed person; replace only after current role is verified.,Yes
TO RESEARCH,Reolink,5,Growth / Performance Marketing Manager,Reolink,Escalation,Useful where creator media sits inside performance acquisition.,,,Open – no current person verified,2026-09-10,https://reolink.com,Search Reolink + 'Growth / Performance Marketing Manager'. Validate current employment before messaging.,Research needed,,,Intentional research slot. Do not contact a guessed person; replace only after current role is verified.,Yes
TO RESEARCH,Shortform,1,Head of Influencer / Creator Marketing,Shortform,Primary buyer,Find the person who owns creator acquisition and sponsorship budget.,,,Open – no current person verified,2026-09-10,https://sponsorradar.com/channels/thecloserlook,Search Shortform + 'Head of Influencer / Creator Marketing'. Validate current employment before messaging.,Research needed,,,Intentional research slot. Do not contact a guessed person; replace only after current role is verified.,Yes
TO RESEARCH,Shortform,2,Influencer Marketing Manager,Shortform,Primary operator,Likely day-to-day buyer/negotiator for integrations.,,,Open – no current person verified,2026-09-10,https://sponsorradar.com/channels/thecloserlook,Search Shortform + 'Influencer Marketing Manager'. Validate current employment before messaging.,Research needed,,,Intentional research slot. Do not contact a guessed person; replace only after current role is verified.,Yes
TO RESEARCH,Shortform,3,Creator Partnerships / Sponsorships Manager,Shortform,Primary operator,Direct remit for creator deals and sponsorships.,,,Open – no current person verified,2026-09-10,https://sponsorradar.com/channels/thecloserlook,Search Shortform + 'Creator Partnerships / Sponsorships Manager'. Validate current employment before messaging.,Research needed,,,Intentional research slot. Do not contact a guessed person; replace only after current role is verified.,Yes
TO RESEARCH,Shortform,4,Partnerships / Affiliate Manager,Shortform,Secondary buyer,Useful for hybrid paid + performance structure or internal routing.,,,Open – no current person verified,2026-09-10,https://sponsorradar.com/channels/thecloserlook,Search Shortform + 'Partnerships / Affiliate Manager'. Validate current employment before messaging.,Research needed,,,Intentional research slot. Do not contact a guessed person; replace only after current role is verified.,Yes
TO RESEARCH,Shortform,5,Growth / Performance Marketing Manager,Shortform,Escalation,Useful where creator media sits inside performance acquisition.,,,Open – no current person verified,2026-09-10,https://sponsorradar.com/channels/thecloserlook,Search Shortform + 'Growth / Performance Marketing Manager'. Validate current employment before messaging.,Research needed,,,Intentional research slot. Do not contact a guessed person; replace only after current role is verified.,Yes
TO RESEARCH,Qustodio,1,Head of Influencer / Creator Marketing,Qustodio,Primary buyer,Find the person who owns creator acquisition and sponsorship budget.,,,Open – no current person verified,2026-09-10,https://sponsorradar.com/channels/cybernews,Search Qustodio + 'Head of Influencer / Creator Marketing'. Validate current employment before messaging.,Research needed,,,Intentional research slot. Do not contact a guessed person; replace only after current role is verified.,Yes
TO RESEARCH,Qustodio,2,Influencer Marketing Manager,Qustodio,Primary operator,Likely day-to-day buyer/negotiator for integrations.,,,Open – no current person verified,2026-09-10,https://sponsorradar.com/channels/cybernews,Search Qustodio + 'Influencer Marketing Manager'. Validate current employment before messaging.,Research needed,,,Intentional research slot. Do not contact a guessed person; replace only after current role is verified.,Yes
TO RESEARCH,Qustodio,3,Creator Partnerships / Sponsorships Manager,Qustodio,Primary operator,Direct remit for creator deals and sponsorships.,,,Open – no current person verified,2026-09-10,https://sponsorradar.com/channels/cybernews,Search Qustodio + 'Creator Partnerships / Sponsorships Manager'. Validate current employment before messaging.,Research needed,,,Intentional research slot. Do not contact a guessed person; replace only after current role is verified.,Yes
TO RESEARCH,Qustodio,4,Partnerships / Affiliate Manager,Qustodio,Secondary buyer,Useful for hybrid paid + performance structure or internal routing.,,,Open – no current person verified,2026-09-10,https://sponsorradar.com/channels/cybernews,Search Qustodio + 'Partnerships / Affiliate Manager'. Validate current employment before messaging.,Research needed,,,Intentional research slot. Do not contact a guessed person; replace only after current role is verified.,Yes
TO RESEARCH,Qustodio,5,Growth / Performance Marketing Manager,Qustodio,Escalation,Useful where creator media sits inside performance acquisition.,,,Open – no current person verified,2026-09-10,https://sponsorradar.com/channels/cybernews,Search Qustodio + 'Growth / Performance Marketing Manager'. Validate current employment before messaging.,Research needed,,,Intentional research slot. Do not contact a guessed person; replace only after current role is verified.,Yes
TO RESEARCH,VEED,1,Head of Influencer / Creator Marketing,VEED,Primary buyer,Find the person who owns creator acquisition and sponsorship budget.,,,Open – no current person verified,2026-09-10,https://sponsorradar.com/channels/cybernews,Search VEED + 'Head of Influencer / Creator Marketing'. Validate current employment before messaging.,Research needed,,,Intentional research slot. Do not contact a guessed person; replace only after current role is verified.,Yes
TO RESEARCH,VEED,2,Influencer Marketing Manager,VEED,Primary operator,Likely day-to-day buyer/negotiator for integrations.,,,Open – no current person verified,2026-09-10,https://sponsorradar.com/channels/cybernews,Search VEED + 'Influencer Marketing Manager'. Validate current employment before messaging.,Research needed,,,Intentional research slot. Do not contact a guessed person; replace only after current role is verified.,Yes
TO RESEARCH,VEED,3,Creator Partnerships / Sponsorships Manager,VEED,Primary operator,Direct remit for creator deals and sponsorships.,,,Open – no current person verified,2026-09-10,https://sponsorradar.com/channels/cybernews,Search VEED + 'Creator Partnerships / Sponsorships Manager'. Validate current employment before messaging.,Research needed,,,Intentional research slot. Do not contact a guessed person; replace only after current role is verified.,Yes
TO RESEARCH,VEED,4,Partnerships / Affiliate Manager,VEED,Secondary buyer,Useful for hybrid paid + performance structure or internal routing.,,,Open – no current person verified,2026-09-10,https://sponsorradar.com/channels/cybernews,Search VEED + 'Partnerships / Affiliate Manager'. Validate current employment before messaging.,Research needed,,,Intentional research slot. Do not contact a guessed person; replace only after current role is verified.,Yes
TO RESEARCH,VEED,5,Growth / Performance Marketing Manager,VEED,Escalation,Useful where creator media sits inside performance acquisition.,,,Open – no current person verified,2026-09-10,https://sponsorradar.com/channels/cybernews,Search VEED + 'Growth / Performance Marketing Manager'. Validate current employment before messaging.,Research needed,,,Intentional research slot. Do not contact a guessed person; replace only after current role is verified.,Yes
TO RESEARCH,Planet Wild,1,Head of Influencer / Creator Marketing,Planet Wild,Primary buyer,Find the person who owns creator acquisition and sponsorship budget.,,,Open – no current person verified,2026-09-10,https://sponsorradar.com/channels/typeashton,Search Planet Wild + 'Head of Influencer / Creator Marketing'. Validate current employment before messaging.,Research needed,,,Intentional research slot. Do not contact a guessed person; replace only after current role is verified.,Yes
TO RESEARCH,Planet Wild,2,Influencer Marketing Manager,Planet Wild,Primary operator,Likely day-to-day buyer/negotiator for integrations.,,,Open – no current person verified,2026-09-10,https://sponsorradar.com/channels/typeashton,Search Planet Wild + 'Influencer Marketing Manager'. Validate current employment before messaging.,Research needed,,,Intentional research slot. Do not contact a guessed person; replace only after current role is verified.,Yes
